,Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X4s,X6s,Ct,St,BattingScore,Base Price,Selected,Price,
209,Anton Devcich,78,71,5,1563,92*,23.68,1256,124.44,0,9,163,39,27,0,1.1855765719,1000000,0,1000000,
210,Grant Elliott,75,67,15,1360,70,26.15,1026,132.55,0,7,101,53,26,0,1.3485190316,1000000,0,1000000,
211,Farveez Maharoof,89,66,20,819,55*,17.8,683,119.91,0,1,55,32,28,0,1.0854500184,1000000,0,1000000,
212,Suraj Randiv,46,20,6,190,55*,13.57,132,143.93,0,1,17,6,17,0,1.5437384375,1000000,0,1000000,
213,Joginder Sharma,58,35,8,410,75*,15.18,321,127.72,0,1,32,20,17,0,1.221914322,1000000,0,1000000,
214,Christopher Barnwell,69,59,12,956,88,20.34,779,122.72,0,2,60,46,25,0,1.1430073761,15000000,0,15000000,
215,Carlos Brathwaite,37,27,6,307,36*,14.61,223,137.66,0,0,13,21,13,0,1.4154520681,15000000,0,15000000,
216,Elton Chigumbura,115,112,28,2053,103*,24.44,1509,136.05,1,7,121,107,45,0,1.4116843004,15000000,0,15000000,
217,Seekkuge Prasanna,44,31,7,323,36*,13.45,202,159.9,0,0,22,23,16,0,1.9018403945,10000000,0,10000000,
218,Roelof van der Merwe,140,102,24,1533,89*,19.65,1219,125.75,0,7,136,60,53,0,1.1967981996,10000000,0,10000000,
219,Vaughn van Jaarsveld,104,96,17,2329,93*,29.48,1947,119.61,0,12,156,92,37,0,1.121418434,10000000,0,10000000,
220,Kevon Cooper,114,68,27,473,32,11.53,347,136.31,0,0,32,26,33,0,1.3821872384,10000000,0,10000000,
221,Kevin O'Brien,148,132,26,2387,119,22.51,1800,132.61,1,7,183,111,54,0,1.3367298708,10000000,0,10000000,
222,Adam Zampa,18,8,1,33,10*,4.71,42,78.57,0,0,3,1,2,0,0.4576005738,10000000,0,10000000,
223,Dwaine Pretorius,76,63,13,1062,65,21.24,745,142.55,0,2,68,61,17,0,1.5343027171,5000000,0,5000000,
